year,total
1996,180573
1997,195275
1998,190254
1999,219217
2000,234283
2001,261032
2002,277533
2003,303029
2004,311666
2005,304357
2006,328954
2007,346669
2008,368890
2009,366921
2010,374642
2011,383333
2012,394496
2013,393116
2014,401658
2015,418214
2016,429128
2017,429531
2018,446102
2019,497238
2020,534055
